IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"zip
3109/09
Západočeský institut pro ochranu
a dokumentaci památek
West Bohemian Institute for
Heritage Resource Management
Institut je zapsán v rejstříku obecně prospěšných společností vedeném u Krajského soudu v Plzni, oddíl O, vložka 45.
ELEKTRO ELAP SLS s.r.o.
Slovanská alej 33a
326 00 Plzeň
Věc: Plzeň 5- Křimice, Plzeňská ulice
Záchranný archeologický výzkum formou dohledu při stavbě TS a KNN
č.j. 100/08
dne: 13.5..2008
vyřizuje: Procházka Čestmír
Záchranný archeologický výzkum byl vyvolán zemními pracemi, které souvisely se
stavbou TS a KNN k objektu Plzeňská 61, vedenou podél severního okraje Plzeňské ulice.
Kontroly staveniště byly prováděny průběžně v období od 4.2.2008 do 26.2.2008
terénním specialistou a archeologem formou archeologického dohledu při výkopových
pracích.
Byla kontrolována trasa výkopů, vzniklé profily, charakter podloží a vytěžený
materiál. Stavba byla prováděna podél komunikace se zástavbou. Tomu odpovídal i charakter
půdního profilu, kde byly zachyceny recentní výkopy a navážky ze stavební činnosti. Ostatní
materiál ve výkopech tvořila tmavě hnědá písčitohlinitá půda, heterogenní hnědá hlína
s ojedinělými zlomky cihel a písek se štěrkem. Průběžně byla prováděna fotodokumentace.
Nebyly zjištěny žádné archeologické nálezy.
Záchranný archeologický výzkum nezaznamenal žádné pozitivní archeologické situace
ani nebyly nalezeny artefakty, které by nepřímo dokládaly přítomnost pozitivní situace.
Tato zpráva slouží jako potvrzení o provedení archeologického výzkumu pro orgány
činné ve stavebním řízení.
S pozdravem
Mgr. Radek Široký
archeolog ZIP o.p.s.
západočeský institut pro ochranu a dokumentad
zip
památek
Tomanova 3-5
301 00 Plzeň
IČ: 26324105, DIČ: CZ26324105, tel.: 377 422 338
Seznam příloh: 1. Hlášení Archeologickému ústavu AV ČR
2. Vyznačení zkoumaného úseku výkopů na mapě 1:10 000
3. Fotodokumentace
Tomanova 3, 301 00 Plzeň
Czech Republic
e-mail: mhauer@zip-ops.cz
www.zip-ops.cz
IČO: 26324105, DIČ: CZ26324105
bank. spojení: 78-1601640227/0100
Tel.: 377 422 338"	cs	(139, 1)	(1074, 1)	(1074, 1596)	(139, 1596)
image	zip		(221, 46)	(351, 47)	(350, 115)	(220, 114)
image	3109/09		(929, 3)	(1074, 7)	(1073, 31)	(928, 27)
image	Západočeský		(814, 25)	(909, 24)	(909, 44)	(814, 45)
image	institut		(914, 24)	(959, 24)	(959, 43)	(914, 43)
image	pro		(965, 24)	(990, 24)	(990, 43)	(965, 43)
image	ochranu		(993, 23)	(1048, 22)	(1048, 42)	(993, 43)
image	a		(890, 50)	(900, 50)	(900, 66)	(890, 66)
image	dokumentaci		(905, 49)	(987, 50)	(987, 67)	(905, 66)
image	památek		(993, 51)	(1049, 52)	(1049, 68)	(993, 67)
image	West		(853, 97)	(890, 98)	(890, 116)	(853, 115)
image	Bohemian		(893, 98)	(963, 100)	(962, 118)	(893, 116)
image	Institute		(965, 100)	(1021, 101)	(1021, 119)	(965, 118)
image	for		(1024, 102)	(1052, 103)	(1052, 120)	(1024, 119)
image	Heritage		(829, 124)	(891, 124)	(891, 143)	(829, 143)
image	Resource		(897, 124)	(960, 124)	(960, 143)	(897, 143)
image	Management		(964, 124)	(1050, 124)	(1050, 143)	(964, 143)
image	Institut		(141, 166)	(188, 166)	(188, 181)	(141, 181)
image	je		(190, 166)	(203, 166)	(203, 181)	(190, 181)
image	zapsán		(206, 166)	(250, 166)	(250, 181)	(206, 181)
